id,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,action,action_type,action_detail,device_type,secs_elapsed,country_destination
107,3,34,0,12,5,7,0,3,1,4,6,21,6,20,4,130266,4
107,0,39,1,25,5,7,2,0,3,6,6,63,5,14,4,384341,2
107,1,39,0,0,0,1,5,3,3,4,6,37,4,10,2,5479,4
23,3,30,1,12,4,0,5,3,1,4,1,7,3,35,4,128142,2
135,3,62,0,0,1,5,5,0,1,2,1,75,6,14,0,5724,6
107,1,30,1,25,1,1,0,2,1,1,3,22,5,20,1,379378,4
23,3,30,1,24,4,6,8,0,2,6,6,37,3,19,0,42094,0
23,1,79,0,24,9,4,6,1,2,7,10,65,3,10,3,41275,7
23,0,39,0,0,5,1,8,0,0,6,6,6,7,2,3,5136,9
82,0,80,1,24,4,3,5,0,0,7,0,21,3,35,3,128249,7
23,3,35,1,25,4,3,0,3,0,3,0,77,1,10,2,127349,7
107,1,34,0,24,5,3,6,1,0,7,1,6,1,19,1,127670,0
107,3,30,0,12,14,3,5,0,0,6,4,64,7,20,6,1020680,6
82,3,34,0,12,1,6,1,1,2,0,6,37,4,20,1,233902,2
82,1,62,1,25,2,4,5,3,3,2,10,21,3,20,8,394832,2
23,3,39,0,0,4,0,1,3,2,5,4,6,7,10,7,226815,2
108,0,62,0,12,4,3,6,1,2,7,4,21,4,35,6,380266,2
135,3,39,1,25,9,0,8,0,2,3,5,37,3,10,0,5504,6
23,3,39,0,24,5,2,1,1,3,3,6,74,7,35,6,5785,2
82,3,61,1,0,4,1,4,2,3,0,1,21,4,14,3,5239,1
23,1,39,1,24,4,1,1,3,2,6,2,21,4,20,1,1016718,7
23,1,62,0,12,14,3,0,3,1,2,6,38,1,10,3,5830,2
23,3,62,1,12,9,5,8,2,0,1,3,64,2,35,4,42203,0
135,3,34,1,0,9,7,5,3,2,6,1,21,3,2,8,384890,2
135,0,79,0,24,9,3,0,0,0,6,5,6,7,10,1,41218,2
82,1,62,0,25,4,6,8,3,0,0,10,76,1,2,2,5506,1
108,1,39,0,25,4,5,0,2,0,5,1,21,7,19,3,5479,6
23,3,61,1,0,14,3,4,3,1,3,1,77,4,7,6,1039625,2
135,1,39,0,25,2,3,4,0,0,4,3,77,0,7,5,388557,3
107,1,39,0,12,5,5,8,0,2,0,3,37,1,7,3,129163,3
82,0,62,1,25,1,5,4,1,2,5,3,64,7,35,2,42081,5
23,1,39,0,25,0,4,5,0,0,6,5,65,1,20,5,5713,6
82,3,79,1,25,14,4,5,1,3,0,4,6,5,7,5,227926,7
82,1,34,0,12,1,4,1,2,3,0,0,21,5,10,8,5800,7
82,3,79,0,24,0,4,5,3,1,0,4,22,0,10,5,387172,0
23,1,34,1,0,4,4,4,2,2,6,6,65,5,2,8,126892,7
23,1,62,1,0,4,4,8,0,3,7,1,37,3,7,4,5265,4
82,3,78,0,24,0,1,1,0,3,5,2,6,5,2,8,383105,0
82,1,30,1,24,0,1,5,0,3,3,4,77,4,10,4,127425,7
23,3,62,0,24,1,0,1,3,1,1,6,64,1,35,8,5489,7
135,1,61,1,0,1,1,0,2,1,0,10,65,1,10,5,126599,5
135,3,62,0,24,0,6,5,3,0,1,5,76,1,20,3,231983,4
82,0,34,1,12,0,5,5,0,2,4,4,65,0,14,4,42226,5
82,1,30,1,12,2,3,0,3,0,6,1,21,1,2,7,1021724,1
23,0,34,1,0,1,3,1,3,1,1,0,22,0,36,0,129287,1
23,3,79,1,25,5,3,8,3,1,1,4,37,5,20,6,5539,5
107,3,39,1,25,1,7,0,0,3,5,6,6,6,7,7,5607,7
107,3,79,0,25,2,1,0,0,1,2,4,22,6,2,2,40276,3
107,3,39,0,25,1,7,1,2,0,6,3,65,7,20,5,39776,6
135,3,80,1,12,1,5,5,1,0,1,1,64,4,35,6,387201,1
23,1,30,0,12,0,7,8,3,1,6,0,6,4,14,1,1003677,9
135,0,30,0,12,2,4,2,2,3,3,1,22,0,7,0,1035315,3
82,1,30,0,24,5,4,5,1,2,6,2,21,2,7,2,388553,6
135,0,62,0,12,4,5,4,0,0,2,6,37,2,7,7,127801,3
135,0,30,1,24,14,2,2,1,0,3,0,64,3,14,1,237425,0
107,0,62,0,25,4,1,4,1,2,5,6,76,4,10,3,382101,2
135,1,30,0,0,2,4,0,1,0,0,2,38,5,14,3,42173,7
82,3,34,1,0,5,4,8,2,2,4,10,38,2,20,8,392329,0
82,0,79,0,24,4,7,8,1,2,2,5,22,7,20,0,376298,1
135,0,78,0,25,2,2,5,3,2,4,5,6,6,7,1,5640,9
107,1,39,1,24,14,0,0,0,2,5,6,75,5,35,4,228160,6
135,0,79,1,12,4,4,2,2,2,1,0,21,5,19,0,227232,0
23,0,61,0,12,4,1,4,2,1,1,10,63,6,20,6,127325,1
135,0,30,1,12,0,5,6,2,3,1,3,63,5,35,6,5765,7
135,0,30,0,12,9,7,5,3,2,5,5,6,6,7,7,126113,6
82,0,79,1,24,14,6,4,3,2,5,6,64,7,10,7,127427,2
135,0,78,1,12,4,3,2,3,3,7,2,76,2,35,8,1033066,4
135,3,62,1,24,2,3,8,2,1,2,3,6,6,7,7,127330,5
82,3,39,0,24,4,6,2,3,3,0,1,22,5,20,0,232272,0
107,3,34,0,24,5,3,2,3,0,1,1,7,3,20,1,230543,0
107,3,39,1,24,1,2,4,0,2,0,1,75,0,20,5,5701,9
23,1,61,0,12,14,0,8,3,1,1,1,38,7,14,5,5787,2
82,3,79,0,0,1,5,1,0,2,1,10,6,2,2,2,5422,5
23,0,62,1,24,0,3,6,0,1,5,10,37,4,20,7,5572,9
107,1,39,0,25,2,1,5,2,3,6,1,6,0,14,6,359988,1
82,0,79,1,12,9,3,0,3,2,7,5,21,7,20,1,41289,1
82,0,34,1,24,0,1,0,0,3,2,5,66,0,10,1,374408,9
135,1,39,0,0,0,5,5,3,0,0,5,37,5,2,7,5670,5
107,3,34,0,12,4,7,4,0,1,7,5,7,7,2,8,5805,6
108,1,78,0,25,2,2,0,0,1,0,2,6,6,14,7,1022700,6
23,3,62,0,25,1,2,8,0,1,4,6,6,1,35,5,1041483,3
135,0,78,1,24,4,3,0,2,1,5,2,65,1,2,5,1021522,2
135,3,39,1,12,2,4,1,3,0,5,6,6,2,10,5,40333,3
107,1,39,1,25,14,5,6,0,2,5,10,22,4,20,7,1015437,4
82,0,30,0,24,2,7,6,2,0,2,0,22,6,35,1,129130,7
23,0,61,1,12,0,1,1,1,1,6,2,64,5,7,8,5455,1
107,3,30,0,24,5,3,5,1,1,0,4,37,5,10,2,1019515,3
23,3,62,0,12,2,1,6,1,3,4,10,37,2,35,4,131460,5
82,3,80,0,0,5,3,4,3,2,4,6,64,7,7,3,1036745,1
107,3,79,0,0,2,0,1,2,1,4,0,22,4,2,5,5941,4
82,1,39,0,12,1,1,4,3,2,5,3,22,3,14,1,5670,1
82,1,35,1,25,0,3,8,2,2,7,5,37,6,7,6,382817,0
23,3,79,0,25,1,6,1,0,3,6,3,22,2,10,1,384960,9
82,3,34,1,24,2,5,1,2,0,4,6,7,3,14,7,226876,0
23,0,30,1,12,0,5,1,3,3,0,3,6,6,2,4,5961,1
23,3,61,1,0,5,3,2,3,3,2,3,77,0,36,7,231276,1
82,3,39,1,12,14,7,1,3,3,7,2,65,0,20,2,126955,6
23,0,39,0,25,1,4,0,0,1,4,5,37,3,20,5,5739,4
82,0,30,1,24,0,5,4,2,1,4,4,37,1,35,2,229425,9
107,1,78,0,25,9,7,8,1,0,1,5,6,2,35,7,385859,7
135,0,34,0,24,1,0,8,3,1,6,4,22,1,14,0,5453,5
82,3,34,1,12,2,2,5,1,1,2,6,77,1,35,4,5838,7
23,0,62,0,24,1,4,5,0,0,7,2,6,4,14,1,1041481,9
82,0,61,0,12,0,3,4,1,3,6,0,76,4,14,6,233856,1
23,1,62,0,25,4,0,0,2,2,4,3,21,3,14,5,1032131,5
135,1,39,1,0,5,2,6,3,2,5,1,6,0,35,8,41172,9
135,3,39,1,12,5,7,4,3,2,1,0,6,0,20,2,379310,5
23,3,79,1,25,14,5,5,1,0,5,6,65,4,35,7,43078,0
107,1,62,0,12,5,0,4,1,3,2,1,64,0,7,3,990072,7
23,3,78,0,0,2,5,0,0,2,7,3,64,4,10,7,41195,4
82,3,34,1,24,9,7,5,0,2,7,4,22,1,20,5,1031774,2
135,1,34,0,0,5,6,6,1,1,2,4,37,0,7,0,383378,3
82,1,79,1,0,5,3,4,0,0,3,10,77,0,20,3,228716,9
107,3,34,0,25,1,0,6,2,1,5,4,76,6,10,0,387110,0
82,1,30,1,0,9,2,2,0,0,2,3,37,4,7,3,5424,4
135,0,30,0,24,1,0,1,2,1,7,1,65,2,10,6,5569,6
107,1,79,0,24,14,0,6,1,0,6,10,22,1,2,4,1034476,3
107,1,62,0,24,14,6,4,1,0,5,4,22,6,10,2,41754,6
82,3,30,0,25,5,5,8,0,1,6,2,77,2,14,6,128710,3
23,3,34,0,24,0,6,6,0,1,6,5,37,6,19,4,223797,0
23,1,30,1,12,0,4,5,3,1,6,6,6,0,14,7,1029272,0
107,0,34,0,25,5,2,1,2,0,2,6,21,6,14,1,1031362,0
135,0,34,0,0,4,1,5,2,1,5,0,76,6,7,3,370453,1
23,1,39,0,12,2,0,2,2,2,1,1,21,0,19,0,1001894,0
23,3,79,1,25,5,7,6,1,0,2,6,64,1,2,5,223483,0
107,0,34,0,12,5,4,6,2,2,6,2,6,7,20,4,388484,2
135,3,39,0,24,5,1,1,1,0,3,10,76,0,20,6,41149,2
23,1,39,1,25,4,0,0,3,1,0,5,21,7,20,5,41925,2
82,0,39,0,25,5,6,5,2,0,2,2,64,1,2,8,42382,1
82,1,61,0,25,4,7,4,2,0,3,0,65,3,35,5,231740,3
107,3,30,0,12,4,0,2,2,0,2,3,37,5,14,0,382562,0
82,3,39,1,0,9,1,1,0,2,2,0,76,4,14,4,1006866,7
23,1,34,0,25,14,2,2,0,3,1,0,64,5,7,3,229280,6
82,0,79,1,24,5,6,5,3,1,3,4,76,3,20,5,5387,3
135,3,62,0,0,2,3,6,0,0,2,5,6,4,19,4,1014115,7
107,1,30,1,25,2,2,1,3,0,2,10,64,4,7,2,125587,2
135,0,30,0,25,0,3,2,2,0,1,1,22,6,20,5,5672,5
23,0,39,1,12,5,2,0,1,0,5,5,21,7,7,1,5431,2
23,3,30,0,12,5,5,5,1,2,3,10,65,1,14,4,1025454,0
23,1,62,1,12,2,1,8,0,3,4,5,21,0,10,4,127449,9
107,1,61,0,24,0,1,8,2,0,5,4,77,5,14,4,228867,9
82,3,79,1,24,0,1,6,2,0,1,2,74,1,10,7,1019679,3
23,1,62,0,0,14,4,1,1,2,5,0,6,1,2,7,1016898,9
82,0,34,0,0,4,7,1,0,0,0,3,38,4,35,7,229877,2
107,1,34,0,0,9,5,0,3,1,0,4,37,7,35,3,1007847,9
82,3,39,0,25,14,4,2,0,0,2,1,64,7,7,7,375219,6
23,3,39,1,0,0,0,5,2,2,1,2,64,5,35,2,5776,2
82,1,39,1,0,0,7,0,1,0,0,5,64,5,35,2,235895,2
135,3,30,1,12,4,7,8,2,1,0,6,22,3,20,8,230254,2
135,1,62,0,12,5,5,8,0,0,3,0,37,2,19,4,1039864,4
107,3,30,0,0,14,2,8,3,0,2,5,21,3,14,2,41441,7
82,3,62,1,0,0,0,1,2,3,3,10,6,4,35,8,381500,1
107,3,34,0,12,9,3,1,0,2,0,6,6,6,35,8,41131,3
23,0,79,1,0,5,1,8,2,1,4,10,21,4,2,8,41673,1
135,3,79,0,12,4,1,1,3,2,4,5,75,0,10,0,230318,4
82,1,62,1,24,9,2,2,0,2,1,5,7,5,20,3,127831,2
107,0,30,1,24,1,0,5,1,3,2,0,6,1,35,7,233265,1
82,1,30,0,12,2,5,2,1,0,3,10,37,6,20,8,387672,3
82,3,61,0,24,2,5,1,1,2,2,5,6,6,35,2,390569,9
135,3,34,0,25,2,6,2,3,3,0,0,21,6,10,6,5806,4
82,3,34,1,12,0,6,2,3,0,1,10,63,3,10,0,127563,5
107,3,30,0,0,5,0,1,1,2,0,2,7,2,10,7,1012123,0
135,3,78,1,0,4,6,5,1,0,1,10,6,4,2,5,229133,2
23,3,30,1,24,0,0,1,2,0,4,6,77,4,14,8,1015885,9
107,0,30,1,25,1,4,1,1,0,2,0,37,5,14,7,381766,2
23,0,62,1,24,9,0,2,2,2,1,1,74,1,14,6,1032673,3
107,0,34,1,24,14,6,1,2,3,7,5,77,2,10,3,1042663,2
107,1,30,0,12,4,6,2,2,3,3,0,64,4,10,4,5813,6
82,1,30,0,24,1,4,0,1,1,1,3,22,7,10,8,1028508,0
23,1,79,0,12,2,1,8,0,2,4,1,65,0,20,6,5710,3
107,3,39,0,12,4,5,6,2,1,5,1,64,4,7,1,42676,4
135,0,34,1,0,9,0,4,2,2,0,5,76,6,7,7,41815,1
23,3,34,0,0,14,6,6,1,3,1,5,65,7,20,1,5494,4
107,0,34,1,24,9,2,4,3,2,7,10,6,6,2,4,231837,0
135,0,30,0,0,14,0,6,1,1,3,5,66,7,10,2,41200,0
107,1,79,0,25,2,7,4,3,1,0,6,64,4,20,2,230380,6
135,3,78,0,24,0,1,1,3,1,4,10,64,4,10,5,1010956,2
23,3,62,0,0,0,3,0,0,2,6,2,6,1,7,7,1022491,9
23,1,78,1,0,1,6,1,1,0,2,3,64,7,35,8,230651,0
107,0,39,1,0,1,3,2,3,1,5,0,65,5,7,1,1022612,4
107,3,79,0,25,4,7,5,0,3,2,0,21,5,35,8,1009061,0
23,0,39,0,24,1,5,8,1,3,4,10,21,0,36,2,232359,4
23,1,79,0,12,1,2,4,0,1,2,10,65,6,7,7,5559,9
107,0,34,0,12,14,0,2,2,0,4,10,6,2,10,2,129474,6
135,3,34,0,0,1,3,6,0,3,1,3,77,1,7,5,129479,1
23,0,61,0,25,1,5,5,1,0,7,5,66,3,10,0,386995,0
23,3,79,1,24,9,6,6,3,1,3,6,6,6,35,4,228784,0
23,0,30,1,24,1,4,5,0,2,4,4,6,0,14,2,229079,3
135,3,39,1,24,2,2,5,1,1,7,2,21,2,10,4,129786,6
135,1,79,0,0,0,3,6,3,3,7,10,76,6,20,2,5671,7
108,3,30,1,24,9,3,2,0,3,1,2,37,0,20,3,227953,2
82,1,30,0,0,5,5,1,2,0,5,10,36,5,14,2,1029860,5
23,0,62,0,12,1,2,8,3,0,5,6,64,3,2,6,383681,0
82,1,39,1,25,5,5,4,1,3,6,2,21,7,2,0,383392,2
23,1,34,0,24,4,4,4,2,3,3,3,37,1,36,6,128152,6
82,1,62,1,12,0,6,5,3,0,3,4,78,4,2,3,130235,5
23,3,78,0,0,2,1,6,1,0,7,5,6,6,14,0,387284,0
107,0,30,0,12,4,4,1,3,3,2,2,21,7,7,3,384719,0
82,1,39,1,0,2,2,6,2,3,6,2,36,3,10,7,41043,5
107,1,30,0,24,1,6,6,2,3,7,0,6,1,7,6,41986,7
23,3,34,1,12,0,5,1,3,0,7,2,64,6,36,8,1047519,2
107,0,34,1,25,4,5,2,1,0,2,0,21,5,14,2,227308,1
82,1,61,1,12,9,4,4,1,1,2,2,37,6,10,8,5286,2
135,3,39,1,25,0,1,8,0,3,1,1,6,7,2,6,1025559,2
23,0,30,1,12,5,6,0,1,0,4,6,76,3,7,0,41823,9
107,3,79,0,12,0,5,0,0,1,1,5,6,5,2,1,124834,7
23,0,39,1,25,5,2,8,1,1,7,10,64,3,2,4,383523,0
23,1,61,0,0,2,3,1,2,2,2,5,75,3,35,5,380701,3
135,1,80,0,25,4,0,0,1,3,3,5,37,1,14,7,5650,6
23,1,34,0,25,9,5,0,0,0,7,6,64,2,20,0,5724,7
82,1,39,0,24,2,0,8,3,1,1,2,21,6,20,5,1050995,1
23,3,61,1,0,0,5,5,3,1,5,4,38,7,2,5,5293,7
23,0,80,0,0,14,4,4,1,0,0,10,76,2,2,5,227987,0
23,0,78,0,12,2,6,0,2,1,4,0,22,5,35,7,379051,6
23,1,62,1,12,0,1,2,3,2,3,1,6,6,7,2,229654,3
135,1,30,1,24,9,3,0,1,3,4,10,64,2,20,2,129108,7
107,3,62,0,25,4,6,0,3,3,7,10,76,1,35,8,41395,6
107,0,34,0,0,9,1,4,0,1,5,4,37,7,7,3,387083,0
23,0,61,1,12,2,0,2,2,1,3,10,65,1,2,0,130033,1
135,0,34,0,12,2,2,4,3,3,4,3,6,0,10,6,236131,4
82,3,39,0,12,1,4,2,1,3,3,3,22,1,2,5,1017752,3
135,1,34,0,0,5,3,2,3,2,4,3,65,2,7,8,233563,2
135,1,61,0,24,2,7,0,1,2,0,0,38,3,2,0,123378,1
23,3,62,1,25,4,5,5,0,1,1,6,76,4,19,2,5408,4
23,3,62,0,25,4,3,4,1,1,4,4,6,5,10,7,230261,7
82,1,39,0,12,2,3,5,0,0,4,6,65,4,10,3,40868,6
108,3,30,1,12,1,4,8,3,3,1,3,7,6,20,4,131175,6
82,3,79,0,24,14,1,5,1,1,6,2,6,7,20,8,41029,0
135,0,39,0,24,9,7,8,0,1,5,10,37,7,14,2,378393,7
82,3,34,0,12,0,5,4,1,1,1,4,6,3,20,7,41228,6
23,0,39,1,12,0,1,1,1,1,1,1,22,2,7,2,40604,3
82,0,30,0,12,14,5,4,2,2,3,3,64,5,14,0,1018154,1
135,3,30,0,25,0,0,8,2,0,3,3,77,4,10,2,1048764,3
107,0,39,0,24,4,5,6,0,3,0,4,6,3,35,1,127350,4
23,0,30,0,24,5,1,0,2,3,5,2,65,2,36,8,42452,1
135,0,30,0,12,4,7,6,0,0,1,2,21,1,2,6,229763,0
23,3,34,0,25,0,3,6,0,2,4,5,74,7,14,1,5392,5
82,3,79,0,0,14,0,1,1,1,6,2,21,2,20,8,1036154,1
135,1,79,1,24,0,4,1,1,0,0,1,37,2,14,7,392683,1
82,1,34,0,25,4,5,6,1,2,0,2,7,4,35,5,231320,9
135,0,62,0,0,4,0,8,1,0,3,1,6,3,2,4,5517,6
82,3,34,0,24,14,4,5,1,0,1,6,65,7,2,2,5794,6
135,0,62,1,24,4,6,1,1,1,1,6,65,5,7,0,127546,0
23,0,39,1,0,2,6,5,0,0,7,4,76,1,20,5,5742,7
82,3,30,0,24,5,4,8,1,0,2,6,37,5,10,5,5863,1
82,0,34,0,25,1,3,5,3,2,5,4,77,2,14,6,1040697,5
23,3,79,0,12,1,5,1,0,0,4,1,6,7,2,3,1012741,6
82,0,62,0,0,9,0,0,2,2,6,10,6,3,2,0,379321,1
107,0,62,1,0,14,4,1,2,2,0,6,6,1,10,7,386388,0
107,3,79,0,25,2,5,1,2,0,0,6,65,2,10,6,231972,3
23,0,39,0,0,1,3,8,3,0,2,2,37,5,10,0,384431,1
23,0,34,0,0,1,0,0,1,1,4,4,21,6,35,4,5598,0
107,1,39,1,12,14,4,2,2,2,3,4,6,2,10,8,230022,3
135,1,35,0,0,0,4,4,2,0,0,1,64,3,2,4,5596,7
82,1,30,0,24,0,7,8,0,0,4,4,64,3,19,3,128016,3
107,0,30,1,24,1,1,6,1,3,5,10,6,4,10,1,1029675,2
135,0,79,0,25,1,2,4,1,3,6,4,22,6,14,1,5414,7
107,1,62,0,24,2,6,4,1,3,1,10,75,1,2,3,227629,9
23,3,34,0,12,1,2,6,3,1,6,5,38,0,14,7,384729,7
107,0,30,1,12,4,7,8,3,1,4,4,6,5,20,0,1028782,2
135,3,39,1,24,1,2,8,3,2,2,2,64,2,14,6,374006,9
23,0,62,0,24,5,5,8,2,0,5,0,65,4,2,5,127628,0
107,0,77,1,25,5,1,1,3,2,7,2,22,4,35,6,5638,3
107,0,62,0,24,2,5,4,0,0,3,1,76,3,35,2,5693,1
135,0,30,1,24,0,6,2,3,1,5,6,6,1,7,3,1004053,5
135,3,34,0,25,1,2,1,3,2,0,10,6,1,7,0,230235,7
135,1,34,0,0,5,0,2,0,1,6,0,37,2,7,6,5513,3
107,1,30,0,0,4,7,1,3,0,6,10,37,2,20,5,41035,5
135,0,34,0,12,5,5,0,0,1,2,3,65,6,7,4,230278,2
82,1,39,0,24,0,5,6,3,0,6,4,6,3,35,5,1021345,0
23,1,78,1,24,14,7,0,3,0,5,5,22,5,10,4,40894,3
107,3,62,1,24,4,1,0,2,3,6,0,64,5,7,4,41357,3
135,3,30,1,0,9,1,8,2,0,6,0,76,6,10,7,1011506,0
135,3,79,0,25,0,3,4,0,0,2,1,76,3,2,6,5555,4
135,0,34,0,12,0,6,2,0,0,4,0,65,6,7,7,232679,3
82,3,30,1,24,0,1,6,3,0,0,6,37,1,19,4,384334,9
82,3,61,0,25,14,0,5,1,1,6,4,6,6,2,5,5775,2
135,3,34,1,25,1,7,0,2,0,4,1,37,7,14,7,384494,4
82,1,39,0,12,1,4,8,2,0,4,10,76,1,10,4,41312,1
135,3,39,1,0,0,3,8,1,2,0,6,6,5,14,1,41397,7
23,3,39,1,0,5,5,2,1,2,7,0,7,7,7,8,41049,4
107,1,62,1,25,2,0,4,0,1,2,3,6,6,2,7,5810,4
135,0,34,0,12,0,6,1,2,1,0,4,6,3,7,7,42789,7
135,3,30,1,12,9,0,6,1,3,0,2,22,5,7,1,42204,5
135,0,39,0,25,0,4,2,0,3,7,10,64,4,35,3,1046531,6
135,1,79,1,25,1,1,5,0,0,4,2,37,6,7,0,5692,5
23,1,30,0,12,14,3,4,1,2,4,10,6,3,14,7,41601,2
82,1,62,1,12,5,6,8,2,0,1,4,6,3,36,6,1044123,9
135,3,30,0,24,1,6,5,1,0,0,3,6,5,7,8,378755,7
135,3,30,1,24,1,3,5,1,2,3,2,22,1,10,2,128143,4
82,3,62,0,12,0,7,1,1,1,7,2,37,3,10,5,382049,0
23,3,61,0,24,0,4,2,1,3,5,1,66,7,19,6,126016,9
135,0,34,0,24,4,5,8,2,2,2,10,6,1,20,6,127289,0
107,0,30,1,12,5,0,1,0,2,5,2,21,3,14,0,128025,3
81,0,34,0,24,2,6,0,2,3,7,2,65,4,14,8,231532,9
135,1,62,1,0,0,2,2,2,0,5,5,21,5,2,6,42022,0
82,1,34,1,25,1,3,1,2,1,3,10,75,0,10,1,42390,0
107,3,62,1,25,1,0,4,0,3,2,4,7,7,7,4,129989,4
82,0,30,1,0,4,3,5,2,3,4,5,21,0,7,3,41913,3
82,3,34,0,24,2,1,8,3,0,4,0,37,3,20,6,5748,7
135,0,39,1,25,0,3,0,1,0,1,0,77,5,35,0,41463,5
82,0,61,0,24,0,4,0,3,2,4,4,21,3,36,2,42995,4
82,1,30,0,12,2,7,2,3,2,3,4,64,7,14,2,231985,5
23,0,39,1,12,5,3,4,3,2,1,2,76,1,20,5,126350,7
135,3,79,1,25,5,7,6,1,1,7,6,6,6,10,8,5863,7
82,1,78,0,0,14,4,0,3,2,6,4,37,1,2,7,126349,0
107,0,62,0,25,14,7,5,3,2,7,5,78,1,2,6,41460,4
107,0,62,0,25,14,6,5,1,2,0,2,65,4,20,0,41753,9
135,3,79,0,0,5,3,2,0,3,0,1,65,2,20,5,42936,4
82,1,78,1,12,14,5,4,0,3,3,10,22,3,14,2,382635,7
135,3,79,1,25,0,5,8,3,2,7,5,21,3,10,1,41586,3
135,0,39,1,0,0,0,0,0,1,5,3,38,0,7,8,5506,3
23,0,62,1,24,1,3,6,2,0,6,1,22,0,7,3,129889,9
23,1,39,1,0,0,2,8,2,2,7,4,37,4,20,2,42356,1
23,0,39,1,25,5,5,0,0,3,6,5,22,2,35,8,381965,1
